Składniki	Складники
Orkowy pies	Орчий гончак
Polny pełzacz	Богомол
Polny pełzacz-wojownik	Богомол-воїн
Warg	Варг
Czarny wilk	Чорний вовк
Przeklęty wilk	Проклятий вовк
Bagienny golem	Болотний голем
Bagienny szczur	Болотний щур
Smoczy zębacz	Драконячий снеппер
Ognisty jaszczur	Вогняний ящір
Szkielet-cieniostwór	Скелет мракориса
Królowa pełzaczy	Королева повзунів
Larwa pełzacza	Личинка повзуна
Młody pełzacz	Молодий повзун
Aligator	Алігатор
Stary szkielet-mag	Старий скелет-маг
Żaboludź	Жаболюд
Larwa	Личинка
Glizda	Черв'як
Kolczasty aligator	Колючий алігатор
Kamienny strażnik	Кам'яний страж
Tomczak - 'Who's laughing now?'	Tomczak – 'Ну і хто теперь сміється?'
Pawłoch - 'Mówiłem od razu, że znam Willema!'	Pawloch – 'Я ж казав, що знаю Віллема!'
Szmyk - 'Hello World!'	Szmyk – 'Hello World!'
Rychu - Czujesz bryłę?	Rychu – 'Це часом не пухлина?'
Komuch - ten świat wymaga poprawek, normalnie	Komuch – 'Цей світ потрібно допрацьовувати, насправді'
Revo - 'jeśli nic nie osiągnę w życiu to ten nagrobek to najlepsze co po sobie zostawiłem'	Revo – 'Якщо я нічого не досягну в житті, то цей надгробок – краще, что я залишив після себе'
Ogon - Ogon, może przesuń te nagrobki o kilka cm w prawo?	Ogon – 'Ogon, чому б тобі не пересунути ці надгробки на кілька сантиметрів праворуч?'
H4rbing3r - Nocą dręczyły go sny, zginął w biały dzień	H4rbing3r – 'Вночі його мучили сни, він помер серед білого дня'
Erak - 'co rąk nie masz, że czekasz na gotowe?'	Erak –  'Чи ти рук не маєш, що чекаєш, коли буде готове?'
SJN - '„Corridors” to dobre miejsce na spacer.	SJN – ''Коридори' — гарне місце для прогулянок.
Popatrz na muzykę, ona Cię poprowadzi'	Прислухайся до музики, вона скерує тебе'
Kamil - CoSv1	Kamil – CoSv1
Gibbson - 'Ahh potrawka z chrząszcza, mógłbym ją jeść bez końca'	Gibbson – 'Ах, рагу з м'ясних жуків, я міг би їсти його вічно'
Corios - Top 10 napisów na nagrobek	Corios – 'Топ-10 написів на надгробках'
Xavi - Nani the fuck omae reading?	Xavi – 'Nani, в біса omae ти це читаєш?
B-Baka!	B-Baka!'
Ola - Creme de la creme	Ola – 'Creme de la creme'
AnonimowyLektor - xD	AnonimowyLektor – 'xD'
Milo - 'Zabicie Fabio w 4 rozdziale pod Wilczym to kanon'	Milo – 'Смерть Фабіо від вовка в 4 розділі – це ​​канон'
ZakonKrwii - 'Aaaaa wypuście mnie'	ZakonKrwii – 'Aaaaa випусти мене'
Feliks - 'To prawie mnie zabiło, ale robota jest gotowa'	Feliks – 'Це мало не вбило мене, але роботу зроблено'
Gryfel - 'Opowiem wam żart o smoku...'	Gryfel – 'Я розповім вам анекдот про дракона...'
GabryZ - 'Nie podał herbatki'	GabryZ – 'Він не подав чаю'
AloReanimator - Chciałby wiedzieć co masz na sobie	AloReanimator – 'Хотів би знати, у що ти вдягнута'
Reiisen - 'Dzięki mnie ominął was okropny quest.	Reiisen – 'Завдяки мені ти уникнув жахливого квеста.
Nie musicie dziękować'	Не треба дякувати.'
Anubis - Robił dobre miny do złej gry	Anubis – 'Зберігав добре обличчя при поганій грі'
Sopran - 'Ja tylko expa chciałem.'	Sopran – 'Я просто хотів трохи очків досвіду.'
Dorlay - 'Gobliny powstaną'	Dorlay – 'Гобліни повстануть'
Fr4gtastic - 'that old gingerbread man Lokvar'	Fr4gtastic – 'цей старий колобок Локвар'
Maks - 'Ja z panem raczej nie pójdę, mam wartę.	Maks – 'Я  з тобою не піду, я на сторожі.
Poleżę tu sobie.	Полежу тут собі.
I pomyślę trochę.'	І трохи подумаю.'
Daf - 'Bądź przeklęty, Leonzo!'	Daf – 'Та нехай тобі грець, Леонцо!'
Qik'in - 'Jeszcze tylko jedna animacja i do domu...'	Qik'in – 'Ще одна анімація і можна йти додому...'
Cutter - 'Pion na E4'	Cutter – 'Пішак на E4'
IceBlock - ItMi_OldCoin	IceBlock – 'ItMi_OldCoin'
Żarłoczny niedźwiedź	Ненажерливий ведмідь
Rozdział 1	Розділ 1
Witamy na Archolos	Ласкаво просимо до Архолосу
Rozdział 2	Розділ 2
Bez śladu	Без сліду
Rozdział 3	Розділ 3
Wśród łotrów	Серед негідників
Rozdział 4	Розділ 4
Kamienne serce	Кам'яне серце
Rozdział 5	Розділ 5
Równowaga	Баланс
Rozdział 6	Розділ 6
Krew na rękach	Кров на руках
Wymagany poziom wyuczonej umiejętności:	Необхідний рівень вивченої навички:
Wymagany poziom wyuczonego atrybutu:	Необхідний рівень вивченого атрибута:
Wymagane złoto:	Потрібно золота:
punktów władania łukiem za mało.	очків володіння луком не вистачає.
punktów władania kuszą za mało.	очків володіння арбалетом не вистачає.
punktów władania bronią jednoręczną za mało.	очків володіння одноручною зброєю не вистачає.
punktów władania bronią dwuręczną za mało.	очків володіння дворучною зброєю не вистачає.
Dalsze szkolenie wymaga awansu w Araxos!	Для подальшого навчання потрібне підвищення в Араксос!
Dalsze szkolenie wymaga awansu w straży!	Для подальшого навчання потрібне підвищення у Варті!
Klucz	Ключ
Klucz do pokoju	Ключ від кімнати
Stary klucz	Старий ключ
Klucz pasterza	Ключ пастуха
Klucz do kaplicy	Ключ від каплиці
Klucz do piwniczki	Ключ від підвалу
Klucz do kanałów	Ключ від каналізації
Zardzewiały klucz	Іржавий ключ
Klucz Fellera	Ключ Феллера
Klucz Tilla	Ключ Тілля
Mosiężny klucz	Латунний ключ
Klucz Salviego	Ключ Сальві
Klucz od Muresa	Ключ Муреша
Klucz do skrzyni Rodrigo	Ключ від скрині Родріго
Klucz do skrzyni Jona	Ключ від скрині Йона
Klucz do sali grobowej	Ключ від похоронної камери
Klucz do kościoła Innosa	Ключ від церкви Інноса
Klucz do domu	Ключ від будинку
Klucz do skrzynki	Ключ від скрині
Klucz do sypialni	Ключ від спальні
Klucz do domu Ramseya	Ключ від будинку Рамзі
Klucz Baesa	Ключ Байса
Klucz Dimy	Ключ Діми
Klucz od Riordiana	Ключ Ріордіана
Zapasowy klucz	Запасний ключ
Klucz do komórki nowicjuszy	Ключ від комірки послушників
Klucz Igora	Ключ Ігоря
Klucz Bodowina	Ключ Бодовіна
Klucz Einara	Ключ Ейнара
Klucz Zachary'ego	Ключ Захарія
Klucz z winnicy Valerio	Ключ від виноградника Валеріо
Klucz Lokvara	Ключ Локвара
Do kufra we wraku okrętu.	Від скрині на затопленому кораблі.
Do skrzyni pasterza.	Від скрині пастуха.
Do kaplicy w wiosce Silbach.	Від каплиці в селі Зільбах.
Do pokoju w tawernie.	Від кімнати в корчмі.
Do starej skrzyni.	Від старої скрині
Do pokoju kultystów.	Від кімнати окультистів.
Nie wiadomo, co otwiera.	Невідомо, що відкриває.
Znalazłem go u rzekomego gońca, który mnie napadł.	Я знайшов його у вдаваного посланця, який напав на мене.
Mały, mosiężny klucz należący do jednego z renegatów.	Маленький латунний ключ, що належить одному з відступників.
Mały, mosiężny klucz należący do jednego z renegatów.	Маленький латунний ключ, що належить одному з відступників.
Klucz, który znalazłem w sakiewce Salviego.	Ключ, який я знайшов в гаманці Сальві.
Musi otwierać jakiś kufer albo schowek.	Мабуть, він открывает якусь скриню або сховок.
Klucz, który otrzymałem od Jona.	Ключ, який я отримав від Йона.
Miał go jeden z bandytów.	Він був у одного з бандитів.
Z jaskini kretoszczurów.	З печери кротощурів.
Pozostawił go po sobie duch maga.	Його залишив привид мага.
Klucz do sypialni w Silbach.	Ключ від спальні в Зільбаху.
Otwiera zamknięty pokój z trofeami.	Відчиняє замкнену кімнату з трофеями.
Otrzymałem go od Baesa.	Я отримав його від Байса.
Otwiera magazyn w Wilczym Leżu.	Відкриває склад у Вовчому лігві.
Znalazłem go przy targowisku Dimy.	Я знайшов його біля прилавку Діми.
Najpewniej otwiera jej skrzynię.	Він, напевно, відкриває її скриню
Otwiera spiżarnię w podziemiach klasztoru.	Він відкриває комору в підвалі монастиря.
Zapasowy klucz do pokoju Igora.	Запасний ключ від кімнати Ігоря.
Znalazłem ten klucz przy zwłokach Bodowina.	Я знайшов цей ключ біля трупа Бодовіна.
Ciekawe, dokąd prowadzi.	Цікаво, куди він веде.
Klucz, który otrzymałem od Einara.	Ключ, який я отримав від Ейнара.
Otwiera jego kufer.	Відкриває його скриню.
Klucz, który otrzymałem od Zachary'ego.	Ключ, який я отримав від Захарія.
Otwiera zamkniętą odnogę w jaskini	Відчиняє закритий прохід у печері.
pod kamienną wieżą.	під кам'яною вежею.
Klucz do skrzyni w magazynie Valerio.	Ключ від скрині на складі Валеріо.
Mam wziąć z niej wszystko, czego potrzebuję na wyprawę.	Я маю взяти звідти все необхідне для експедиції.
Klucz, który otrzymałem od Lokvara.	Ключ, який я отримав від Ловара.
Może otwiera drzwi w jego domu?	Може, він відчиняє двері в його будинку?
