%s - Poziom %d - Rozdział %d	%s - Рівень %d - Розділ %d
'Ciasto' z łajna	'Пиріг' з гною
Duża tkanina do ozdobienia podłogi.	Велика тканина для оздоблення підлоги.
Duży Ben	Великий Бен
Duży dywan 1	Великий килим 1
Duży dywan 2	Великий килим 2
Duży dywan 3	Великий килим 3
Duży dywan 4	Великий килим 4
Duży dywan 5	Великий килим 5
Duży kominek	Великий камін
Duży kołczan bełtów	Великий колчан болтів
Duży kołczan strzał	Великий колчан стріл
Duży nóż	Великий ніж
Duży regał	Велика книжкова шафа
Duży topór	Велика сокира
Duży worek złota	Великий гаманець золота
Duży zestaw,	Великий колчан,
Dwuręczny miecz strażnika	Дворучний меч вартового
Dwuręczny miecz z magicznej rudy	Дворучний меч з магічної руди
Dynia	Гарбуз
Dystyngowani ludzie	Видатні люди їдять їжу
Dywan 1	Килим 1
Dywan 2	Килим 2
Dywan 3	Килим 3
Dywan 4	Килим 4
Dywan 5	Килим 5
Dywan 6	Килим 6
Dywan 7	Килим 7
Dywan 8	Килим 8
Dywan 9	Килим 9
Dziedzictwo Arrazola	Спадщина Арразоля
Dziedzictwo Gumberta	Спадщина Гумберта
Dziennik	Щоденник
Dziennik Alice	Щоденник Аліси
Dziennik Artura	Щоденник Артура
Dziennik Detlowa	Щоденник Детлоу
Dziennik Rodrigo	Щоденник Родріго
Dziennik Valerio	Щоденник Валеріо
Dziennik badań, tom I	Дослідницький журнал. Том I
Dziennik badań, tom II	Дослідницький журнал. Том II
Dziennik badań, tom III	Дослідницький журнал. Том III
Dziennik badań, tom IV	Дослідницький журнал. Том IV
Dziennik należący do Alice.	Щоденник, що належить Алісі.
Dziennik nie jest w dobrym stanie.	Щоденник в поганому стані.
Dziennik pustynnego wędrowcy	Щоденник пустельного мандрівника
Dziennik zmarłego właściciela winnicy,	Щоденник покійного власника виноградника,
Dziennik znaleziony w kufrze Rodrigo.	Щоденник, знайдений у скрині Родріго.
Dziesięć sztuk	Десять шматків
Dziewczyna	Дівчина
Dzieło Mądrych: Tom I	Твори мудреців. Том I
Dzieło Mądrych: Tom II	Твори мудреців. Том II
Dzik	Кабан
Dziku	Dziku
Dziwaczne wojaże pięciu wojowników w	Химерні пригоди п'ятьох сміливців
Dziwaczny dziennik	Дивний щоденник
Dziwna bryła mięsa.	Дивний шматок м'яса.
Dziwna kość.	Дивна кістка.
Dziwna moneta	Дивна монета
Dziwna notatka z kopalni srebra	Дивна записка зі срібної шахти
Dziwna skóra. Wygląda, jakby	Дивна шкура. Виглядає так, ніби
Dziwne młotki	Дивні молотки
Dziwne trofeum...	Дивний трофей...
Dziwne, ale pachnie zupełnie jak	Дивно, але вона пахне так само, як
Dziwne, kamienne znaleziska!	Дивні кам'яні знахідки!
Dziwnie lekka ryba, jakby	Підозріло легка рибина, виглядає так,
Dziwny facet	Дивний чоловік
Dziwny kamień, w którym skrywała się magia.	Дивний камінь, в якому прихована магія.
Dziwny kamyk	Дивний камінь
Dziwny kucharz	Дивний кухар
Dziwny nowicjusz	Дивний послушник
Dziwny pierścień	Дивний перстень
Dziwny pierścień z wyrytymi geometrycznymi symbolami	Дивний перстень з викарбуваними геометричними символами
Dziwny proszek	Дивний порошок
Dziwny wiersz	Дивний вірш
Dzięki niej doprowadzisz podłogę do czystości.	Вона зробить вашу підлогу чистою.
Dzięki niemu będę mógł wejść do miasta.	Завдяки йому я зможу увійти до міста.
Dzięki niemu widać wyraźne	Дає змогу побачити об'єкти,
Dzięki temu dokumentowi	З цим документом
Dębczak	Дубок
Dębowa kusza	Дубовий арбалет
Dłoń Paladyna	Правиця паладина
Dłoń jest zaciśnięta i chyba wciąż coś trzyma.	Рука стиснута і все ще щось тримає.
Długa kolczasta pałka	Довга колюча палиця
Długa szabla	Довга шабля
Długi miecz	Довгий меч
Długi łuk	Довгий лук
Długotrwała mikstura odnowy many	Довготривале зілля відновлення мани
Długotrwała mikstura odnowy życia	Довготривале зілля відновлення здоров'я
Długotrwała mikstura szybkości	Довготривале зілля швидкості
Długotrwały eliksir wzmocnienia ducha	Довготривалий еліксир покращення мани
Długotrwały eliksir wzmocnienia siły	Довготривалий еліксир покращення сили
Długotrwały eliksir wzmocnienia skóry	Довготривалий еліксир покращення захисту
Długotrwały eliksir wzmocnienia zręczności	Довготривалий еліксир покращення спритності
Długotrwały eliksir wzmocnienia życia	Довготривалий еліксир покращення здоров'я
Dźwięk fletu osłabia bestie!	Звук флейти послаблює звірів!
Efekt eksperymentu Kobusa.	Результат експерименту Кобуса.
Efekt z czasem przemija.	Ефект з часом зникає.
Efekt: ???	Ефект: ???
Egzotyczny deser	Екзотичний десерт
Einar oddał ci nadmiar płytek.	Ейнар повернув вам надлишки пластин.
Einar ulepszył pancerz za darmo!	Ейнар безкоштовно покращив обладунок!
Ekler	Ekler
Eksagnem	Екзагнем
Ekstrakt leczniczy	Цілющий екстракт
Ekstrakt many	Екстракт мани
El Bastardo	Ель Бастардо
Eliksir Javada	Еліксир Джавада
Eliksir Saula	Еліксир Сола
Eliksir ducha	Еліксир духу
Eliksir leczniczy	Цілющий еліксир
Eliksir magicznego potencjału	Еліксир магічного потенціалу
Eliksir many	Еліксир мани
Eliksir ochrony przed magią	Еліксир захисту від магії
Eliksir przemiany	Звичайний еліксир перетворення
Eliksir przemiany H	Еліксир перетворення H
Eliksir przemiany L	Еліксир перетворення L
Eliksir przemiany M	Еліксир перетворення M
Eliksir przygotowany przez Bodowina dla Jorna.	Зілля, приготоване Бодовіном для Йорна.
Eliksir siły	Еліксир сили
Eliksir wzmocnienia ducha	Еліксир покращення мани
Eliksir wzmocnienia siły	Еліксир покращення сили
Eliksir wzmocnienia skóry	Еліксир покращення захисту
Eliksir wzmocnienia zręczności	Еліксир покращення спритності
Eliksir wzmocnienia życia	Еліксир покращення здоров'я
Eliksir zręczności	Еліксир спритності
Eliksir życia	Еліксир життя
Elisium	Елізіум
Emma	Емма
Era Bogów	Ера Богів
Era Cudów	Ера Чудес
Era Tworzenia	Ера Створення
Era Życia	Ера Житя
Erak - 'co rąk nie masz, że czekasz na gotowe?'	Erak – 'Чи ти рук не маєш, що чекаєш, коли буде готове?'
Esencja lecznicza	Цілюща есенція
Esencja many	Есенція мани
Esencja tymczasowej siły	Есенція тимчасової сили
Etykieta na menzurce została zdrapana.	Етикетка на мензурці була зішкрябана.
Etykieta wskazuje, że	На етикетці вказано, що йому
